Subject	SessionDate	SessionTime	Block	choose	outcome	partnerlabel	slideInvestment.RT	targettext
115	12-13-2020	14:27:31	1					
115	12-13-2020	14:27:31	2	分享	CC	人	4914.0	4.0
115	12-13-2020	14:27:31	3	独占	DC	人	2947.0	3.0
115	12-13-2020	14:27:31	4	分享	CC	人	1945.0	4.0
115	12-13-2020	14:27:31	5	分享	CD	人	493.0	2.0
115	12-13-2020	14:27:31	6	独占	DC	人	1293.0	3.0
115	12-13-2020	14:27:31	7	分享	CC	人	1274.0	4.0
115	12-13-2020	14:27:31	8	分享	CC	人	561.0	4.0
115	12-13-2020	14:27:31	9	分享	CD	人	383.0	2.0
115	12-13-2020	14:27:31	10	分享	CD	人	923.0	2.0
115	12-13-2020	14:27:31	11	独占	DD	人	2272.0	3.0
115	12-13-2020	14:27:31	12					
115	12-13-2020	14:27:31	13					
115	12-13-2020	14:27:31	14	分享	CD	电脑	805.0	3.0
115	12-13-2020	14:27:31	15	独占	DC	电脑	904.0	3.0
115	12-13-2020	14:27:31	16	独占	DD	电脑	844.0	3.0
115	12-13-2020	14:27:31	17	分享	CD	电脑	395.0	2.0
115	12-13-2020	14:27:31	18	独占	DD	电脑	459.0	3.0
115	12-13-2020	14:27:31	19	独占	DC	电脑	588.0	3.0
115	12-13-2020	14:27:31	20	分享	CC	电脑	601.0	4.0
115	12-13-2020	14:27:31	21	分享	CC	电脑	1403.0	4.0
115	12-13-2020	14:27:31	22	独占	DC	电脑	1155.0	3.0
115	12-13-2020	14:27:31	23	分享	CD	电脑	819.0	2.0
115	12-13-2020	14:27:31	24					
115	12-13-2020	14:27:31	25					
115	12-13-2020	14:27:31	26	分享	CC	人	3292.0	4.0
115	12-13-2020	14:27:31	27	分享	CD	人	1588.0	3.0
115	12-13-2020	14:27:31	28	独占	DD	人	334.0	3.0
115	12-13-2020	14:27:31	29	独占	DC	人	1152.0	3.0
115	12-13-2020	14:27:31	30	分享	CD	人	526.0	1.0
115	12-13-2020	14:27:31	31	分享	CC	人	1612.0	4.0
115	12-13-2020	14:27:31	32	独占	DD	人	4020.0	3.0
115	12-13-2020	14:27:31	33	分享	CD	人	2205.0	2.0
115	12-13-2020	14:27:31	34	独占	DD	人	640.0	3.0
115	12-13-2020	14:27:31	35	分享	CC	人	681.0	4.0
115	12-13-2020	14:27:31	36					
115	12-13-2020	14:27:31	37					
115	12-13-2020	14:27:31	38	分享	CC	电脑	859.0	4.0
115	12-13-2020	14:27:31	39	分享	CD	电脑	1048.0	2.0
115	12-13-2020	14:27:31	40	独占	DC	电脑	271.0	4.0
115	12-13-2020	14:27:31	41	分享	CC	电脑	920.0	4.0
115	12-13-2020	14:27:31	42	独占	DC	电脑	1004.0	3.0
115	12-13-2020	14:27:31	43	分享	CD	电脑	2217.0	2.0
115	12-13-2020	14:27:31	44	独占	DD	电脑	3399.0	3.0
115	12-13-2020	14:27:31	45	独占	DD	电脑	773.0	3.0
115	12-13-2020	14:27:31	46	分享	CC	电脑	278.0	3.0
115	12-13-2020	14:27:31	47	分享	CD	电脑	598.0	3.0
